"","plantID","Plot","yearT","sizeT","pflowerT","fertilityT","survival","sizeT1"
"257","T1.AD14","T1",2006,13.0428097525813,1,3,1,12.1322334398842
"258","T1.AD15","T1",2006,10.7576311527864,1,1,1,10.7964975707823
"259","T1.AD16","T1",2006,11.1980158034739,1,10,1,10.7085839603016
"260","T1.AD17","T1",2006,11.2775567562367,1,17,1,11.2041540225359
"261","T1.AD18","T1",2006,10.891817007543,1,1,1,11.1348117145118
"262","T1.AD19","T1",2006,11.075586344554,1,1,1,11.4818920029631
"263","T1.AD20","T1",2006,10.8658958815916,1,19,1,11.8779621395251
"264","T1.AD21","T1",2006,12.3919521850866,1,3,1,12.1811375503565
"265","T1.AD22","T1",2006,10.143361084137,1,2,1,10.7729578859323
"266","T1.AD23","T1",2006,12.2968648065472,1,7,1,12.2243824783828
"267","T1.AD27","T1",2006,11.096316887876,1,22,1,11.5128708431712
"268","T1.AD28","T1",2006,11.1955269133002,0,NA,1,11.5707264201483
"269","T1.AD29","T1",2006,12.9038871389705,1,9,1,12.8303689191962
"270","T1.AD3","T1",2006,11.2852375960351,1,1,1,11.4500774448056
"271","T1.AD4","T1",2006,11.8984364744102,1,5,1,11.8947131914564
"272","T1.AD6","T1",2006,11.8158921459309,0,NA,1,12.0080273241732
"273","T1.AD8","T1",2006,12.5530008358846,1,19,1,12.6606475364307
"274","T1.AD9","T1",2006,11.2169408820983,1,4,1,11.2892205540005
"275","T1.LJ11","T1",2006,7.32198219772782,0,NA,1,9.93773497714693
"276","T1.LJ12","T1",2006,10.6991326637135,0,NA,1,10.7789590472781
"277","T1.LJ13","T1",2006,9.63329638214392,0,NA,1,10.1449071983867
"278","T1.LJ14","T1",2006,9.62241098833322,0,NA,1,9.73442976805238
"279","T1.LJ15","T1",2006,4.92322149865302,0,NA,0,NA
"280","T1.LJ16","T1",2006,11.279391161395,1,3,1,11.5384257280719
"281","T1.LJ17","T1",2006,9.59916075552932,0,NA,1,9.38709690139876
"282","T1.LJ3","T1",2006,9.51412371284341,0,NA,1,9.82052810744228
"283","T1.LJ8","T1",2006,9.15939625631434,0,NA,1,9.24456249774441
"284","T1.LJ9","T1",2006,10.6120643595149,1,1,1,10.9004180739633
"285","T1.SJ11","T1",2006,8.45282605542226,0,NA,1,7.85507535061611
"286","T1.SJ13","T1",2006,7.29918981143531,0,NA,1,8.36826866739419
"287","T1.SJ17","T1",2006,5.81443859297506,0,NA,1,2.12555913886113
"288","T1.SJ2","T1",2006,8.2177877164559,0,NA,1,8.84380773474166
"289","T1.SJ20","T1",2006,6.3459855395543,0,NA,1,3.94809026675594
